id,samp_date,spectrum,YC,YB,birthnest,rearnest,habitat_origin,habitat_rearing,cross_fostered,sex
BC296,NO DATE,COL_AM_POLLOS_0231,0.506673581,7.589065159,V33,P148,Forest,Urban,1,1
BC296,NO DATE,COL_AM_POLLOS_0232,0.352819884,8.20027558,V33,P148,Forest,Urban,1,1
BC296,NO DATE,COL_AM_POLLOS_0233,0.406848936,8.982737868,V33,P148,Forest,Urban,1,1
BC296,NO DATE,COL_AM_POLLOS_0234,0.444070313,7.622983539,V33,P148,Forest,Urban,1,1
BC297,NO DATE,COL_AM_POLLOS_0235,0.392125451,7.249019672,P148,P148,Urban,Urban,0,1
BC297,NO DATE,COL_AM_POLLOS_0236,0.388152894,7.241379811,P148,P148,Urban,Urban,0,1
BC297,NO DATE,COL_AM_POLLOS_0237,0.50398876,7.398993905,P148,P148,Urban,Urban,0,1
BC297,NO DATE,COL_AM_POLLOS_0238,0.469015179,8.293366785,P148,P148,Urban,Urban,0,1
BC297,NO DATE,COL_AM_POLLOS_0239,0.539849245,7.692456526,P148,P148,Urban,Urban,0,1
BC297,NO DATE,COL_AM_POLLOS_0240,0.50686407,9.503674724,P148,P148,Urban,Urban,0,1
BC298,NO DATE,COL_AM_POLLOS_0241,0.453488863,8.51960951,V33,P148,Forest,Urban,1,2
BC298,NO DATE,COL_AM_POLLOS_0242,0.443450454,10.33139162,V33,P148,Forest,Urban,1,2
BC298,NO DATE,COL_AM_POLLOS_0243,0.470443315,9.260377814,V33,P148,Forest,Urban,1,2
BC298,NO DATE,COL_AM_POLLOS_0244,0.487306302,8.563984117,V33,P148,Forest,Urban,1,2
BC298,NO DATE,COL_AM_POLLOS_0245,0.534844023,8.142636577,V33,P148,Forest,Urban,1,2
BC298,NO DATE,COL_AM_POLLOS_0246,0.421601676,9.621972403,V33,P148,Forest,Urban,1,2
BC299,NO DATE,COL_AM_POLLOS_0247,0.437938416,10.26490216,P148,P148,Urban,Urban,0,2
BC299,NO DATE,COL_AM_POLLOS_0248,0.403457934,8.802871162,P148,P148,Urban,Urban,0,2
